195 restaurants Hisar
7 restaurants Hojai
46 restaurants Hoshangabad
127 restaurants Hoshiarpur
24 restaurants Hospet
107 restaurants Hosur
179 restaurants Hubli
28 restaurants Ichalkaranji
100 restaurants Imphal
1332 restaurants Indore
2 restaurants Itanagar
36 restaurants Itarsi
423 restaurants Jabalpur
40 restaurants Jagdalpur
30 restaurants Jagraon
26 restaurants Jagtial
22 restaurants Jahanabad
1637 restaurants Jaipur
568 restaurants Jalandhar
137 restaurants Jalgaon
35 restaurants Jalna
45 restaurants Jalpaiguri
97 restaurants Jammu
136 restaurants Jamnagar
487 restaurants Jamshedpur
22 restaurants Jamui
0 Jangipur
60 restaurants Jaunpur
25 restaurants Jhalawar
248 restaurants Jhansi
23 restaurants Jhargram
23 restaurants Jharsuguda
28 restaurants Jhunjhunu
57 restaurants Jind
1 restaurant Jjajjar
647 restaurants Jodhpur
144 restaurants Jorhat
76 restaurants Junagadh
71 restaurants Kadapa
5 restaurants Kadayanallur
9 restaurants Kadiri
49 restaurants Kaithal
152 restaurants Kakinada
107 restaurants Kalaburagi
25 restaurants Kamareddy
85 restaurants Kanchrapara
17 restaurants Kannauj
1121 restaurants Kanpur
19 restaurants Kanyakumari
56 restaurants Kapurthala
73 restaurants Karad
11 restaurants Karaikal
40 restaurants Karaikkudi
146 restaurants Karimnagar
151 restaurants Karnal
82 restaurants Karur
22 restaurants Karwar
56 restaurants Kashipur
32 restaurants Katihar
49 restaurants Katni
14 restaurants Kavali
31 restaurants Kayamkulam
10 restaurants Kendrapada
17 restaurants Kendujhar
19 restaurants Khagaria
14 restaurants Khalilabad
21 restaurants Khamgaon
131 restaurants Khammam
43 restaurants Khandwa
81 restaurants Khanna
2 restaurants Kharagpur
17 restaurants Kishanganj
32 restaurants Kishangarh
260 restaurants Kochi
19 restaurants Kodaikanal
1 restaurant Kohima
25 restaurants Kokrajhar
27 restaurants Kolar
230 restaurants Kolhapur
134 restaurants Kollam
10 restaurants Koppal
45 restaurants Korba
648 restaurants Kota
40 restaurants Kotdwar
4 restaurants Kothagudem
123 restaurants Kottayam
40 restaurants Kovilpatti
223 restaurants Kozhikode
41 restaurants Krishnagiri
12 restaurants Krishnanagar
1 restaurant Kullu
68 restaurants Kumbakonam
116 restaurants Kurnool
127 restaurants Kurukshetra
12 restaurants Kushalnagar
53 restaurants Lakhimpur
18 restaurants Lalitpur
132 restaurants Latur
76 restaurants Lonavla
202 restaurants Lpu-phagwara
1776 restaurants Lucknow
992 restaurants Ludhiana
33 restaurants Machilipatnam
55 restaurants Madanapalle
37 restaurants Madhubani
25 restaurants Madikeri
431 restaurants Madurai
73 restaurants Mahbubnagar
14 restaurants Mahoba
39 restaurants Mainpuri
24 restaurants Malappuram
45 restaurants Malda
25 restaurants Malegaon
25 restaurants Malout
0 Manali
44 restaurants Mancherial
4 restaurants Mandapeta
15 restaurants Mandi-dabwali
61 restaurants Mandi-gobindgarh
47 restaurants Mandsaur
43 restaurants Mandya
351 restaurants Mangaluru
143 restaurants Manipal
38 restaurants Mansa
8 restaurants Markapur
199 restaurants Mathura
26 restaurants Maunath-bhanjan
22 restaurants Mayiladuthurai
56 restaurants Medinipur
423 restaurants Meerut
68 restaurants Mehsana
22 restaurants Mettupalayam
20 restaurants Miryalaguda
35 restaurants Mirzapur
23 restaurants Modinagar
73 restaurants Moga
190 restaurants Moradabad
35 restaurants Morbi
27 restaurants Morena
33 restaurants Motihari
2 restaurants Mount-abu
24 restaurants Mughalsarai
1 restaurant Mukerian
34 restaurants Muktsar
32 restaurants Munger
1 restaurant Mussoorie
117 restaurants Muzaffarnagar
146 restaurants Muzaffarpur
449 restaurants Mysore
16 restaurants Nabadwip
1 restaurant Nabha
79 restaurants Nadiad
61 restaurants Nagaon
13 restaurants Nagapattinam
12 restaurants Nagda
111 restaurants Nagercoil
1277 restaurants Nagpur
2 restaurants Naharlagun
21 restaurants Nainital
0 Nakodar
11 restaurants Nalbari
42 restaurants Nalgonda
67 restaurants Namakkal
139 restaurants Nanded
12 restaurants Nandurbar
42 restaurants Nandyal
33 restaurants Nangal
15 restaurants Naraingarh
19 restaurants Narasaraopet
